time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
17:28:45:1830,-0.4793,-0.7340,-3.9083,4.005
17:28:45:1850,-0.3845,-0.6707,-3.7158,3.795
17:28:45:1930,-0.3272,-0.0288,-3.1673,3.184
17:28:45:2050,-0.5469,1.0268,-2.4244,2.689
17:28:45:2150,-0.7322,3.1259,-1.6537,3.611
17:28:45:2230,-0.6566,4.6852,-1.0184,4.839
17:28:45:2340,-0.4151,6.3153,0.2622,6.334
17:28:45:2430,-1.0666,7.9746,2.7704,8.509
17:28:45:2580,-1.9928,9.8881,5.9579,11.715
17:28:45:2630,-1.8057,11.1071,6.3751,12.933
17:28:45:2740,-0.3194,12.0270,6.4269,13.640
17:28:45:2849,1.5131,12.2770,6.9653,14.196
17:28:45:3010,1.4908,10.1273,-4.2731,11.092
17:28:45:3040,1.4695,8.3602,-5.5290,10.130
17:28:45:3130,5.3226,0.8350,-4.5847,7.074
17:28:45:3240,7.7276,-8.4231,2.6983,11.745
17:28:45:3420,-1.2535,-31.6411,5.8469,32.201
17:28:45:3449,-2.4783,-35.7956,6.3369,36.437
17:28:45:3540,-9.3876,-39.3870,-0.2777,40.491
17:28:45:3630,-15.0757,-37.2538,-5.9040,40.620
17:28:45:3800,-4.6602,-19.5543,6.7247,21.197
17:28:45:3870,-4.7972,-17.2014,6.2120,18.907
17:28:45:3940,-7.7884,-10.6508,1.7771,13.314
17:28:45:4050,-10.2417,-7.2332,-0.8671,12.568
17:28:45:4150,-10.6818,-5.0023,-0.2767,11.798
17:28:45:4230,-9.0317,-3.1543,0.0949,9.567
17:28:45:4330,-6.9275,-0.4123,-0.4858,6.957
17:28:45:4440,-4.3866,2.0083,-1.4362,5.034
17:28:45:4550,-0.8297,4.7756,-3.9424,6.248
17:28:45:4640,2.0199,6.4394,-6.3205,9.246
17:28:45:4740,6.3122,8.2121,-9.0611,13.762
17:28:45:4830,10.1666,9.8522,-8.3988,16.461
17:28:45:4990,14.0027,10.5732,-0.0245,17.546
17:28:45:5030,13.4033,10.3690,2.4426,17.121
17:28:45:5140,10.9472,9.7613,6.2635,15.949
17:28:45:5230,7.5327,9.8736,8.1193,14.838
17:28:45:5400,1.6780,10.7052,7.8571,13.385
17:28:45:5430,0.8090,10.9682,7.1646,13.126
17:28:45:5540,-2.3140,11.9724,4.0052,12.835
17:28:45:5629,-6.1081,12.8863,4.2011,14.867
17:28:45:5810,-7.5268,13.8310,6.3947,16.995
17:28:45:5840,-7.2564,13.9498,6.3531,16.959
17:28:45:5940,-3.8376,13.5460,6.0335,15.317
17:28:45:6050,-0.2805,12.1270,5.4401,13.294
17:28:45:6140,3.0705,10.6362,4.1421,11.820
17:28:45:6230,4.8218,9.7306,3.5241,11.417
17:28:45:6330,6.7676,8.8697,3.5698,11.714
17:28:45:6430,7.3769,7.7068,3.6562,11.277
17:28:45:6570,6.6277,6.6300,2.7374,9.766
17:28:45:6630,5.5054,6.2971,0.7456,8.398
17:28:45:6740,4.0447,6.1746,-2.3859,7.757
17:28:45:6830,3.9925,5.8819,-4.3863,8.353
17:28:45:7000,1.4960,2.8376,-9.8554,10.364
17:28:45:7040,0.3784,1.6463,-10.0127,10.154
17:28:45:7130,-4.2985,-2.1307,-5.3462,7.183
17:28:45:7230,-12.2112,-5.7440,5.8259,14.699
17:28:45:7400,-28.9366,-18.3727,6.2689,34.845
17:28:45:7430,-29.9510,-21.8746,1.6111,37.124
17:28:45:7530,-30.6339,-30.0532,-7.3086,43.532
17:28:45:7630,-20.2369,-26.9131,0.5174,33.677
17:28:45:7800,3.9136,-19.6191,-2.3193,20.140
17:28:45:7830,5.2040,-18.6515,-2.9214,19.583
17:28:45:7940,5.3661,-16.6876,-3.2058,17.820
17:28:45:8030,1.3766,-16.4204,0.6311,16.490
17:28:45:8139,-0.3518,-17.6227,3.3465,17.941
17:28:45:8250,-4.1926,-17.1640,2.5342,17.850
17:28:45:8340,-7.2727,-14.4102,1.0556,16.176
17:28:45:8440,-4.8063,-10.1854,0.9951,11.306
17:28:45:8560,-2.0226,-5.0441,1.4125,5.615
17:28:45:8690,-1.0298,-1.0274,0.8007,1.661
17:28:45:8740,-0.6357,2.9946,0.0729,3.062
17:28:45:8830,-0.8998,6.4566,-0.5273,6.540
17:28:45:9000,-1.0066,10.4650,-0.7347,10.539
17:28:45:9030,-1.0948,10.8493,-0.6582,10.924
17:28:45:9140,-0.3372,11.4318,-0.3048,11.441
17:28:45:9230,0.9190,11.5522,-0.0207,11.589
17:28:45:9410,3.6847,11.2841,-0.9959,11.912
17:28:45:9430,4.2087,11.1053,-1.3443,11.952
17:28:45:9540,4.8202,10.7282,-2.6124,12.048
17:28:45:9630,4.7068,10.2380,-3.9421,11.938
17:28:45:9810,5.2927,9.0997,-5.8262,12.032
17:28:45:9830,5.4865,9.0220,-5.4082,11.864
17:28:45:9940,6.2976,8.6879,-2.4985,11.017
17:28:46:0040,6.3384,8.4789,2.4896,10.875
17:28:46:0150,5.7976,8.6689,8.0823,13.194
17:28:46:0240,4.6020,9.2570,11.0074,15.101
17:28:46:0330,2.5835,9.7227,11.9994,15.659
17:28:46:0429,1.3452,9.6412,9.7919,13.807
17:28:46:0560,0.3888,9.1632,6.1796,11.059
17:28:46:0630,-0.1479,9.0102,5.2579,10.433
17:28:46:0740,-3.8825,10.2773,-14.6593,18.319
17:28:46:0850,-7.6353,11.9246,-6.5007,15.581
17:28:46:0990,-4.6802,11.1104,3.9000,12.671
17:28:46:1030,-2.5699,10.8558,5.2249,12.319
17:28:46:1130,1.1351,9.7612,7.2482,12.211
17:28:46:1230,1.6319,8.3191,5.8093,10.277
17:28:46:1409,0.4248,6.5865,5.1281,8.358
17:28:46:1440,-0.1457,0.7445,5.2892,5.343
17:28:46:1530,-5.5855,-36.3930,6.4318,37.377
17:28:46:1630,-19.4942,-67.6207,3.1094,70.443
17:28:46:1810,-4.6648,-52.2785,-4.9340,52.718
17:28:46:1830,0.1593,-43.8361,-6.0075,44.246
17:28:46:1940,10.8382,-17.2888,-5.2159,21.061
17:28:46:2030,10.9214,-5.6790,-2.2606,12.516
17:28:46:2150,1.6390,-1.4789,-1.5993,2.726
17:28:46:2240,-4.5756,-1.9186,-1.3671,5.146
17:28:46:2330,-6.1579,-1.3984,-3.0193,6.999
17:28:46:2440,-4.9264,0.7158,-4.1816,6.501
17:28:46:2580,-2.8294,4.6341,-0.8401,5.494
17:28:46:2630,-2.0617,8.2152,-0.9853,8.527
17:28:46:2730,0.1596,11.2589,-2.0228,11.440
17:28:46:2849,5.1020,13.2092,-3.8270,14.668
17:28:46:2990,11.0905,12.8258,-1.5564,17.027
17:28:46:3030,11.4110,12.3840,-1.1938,16.882
17:28:46:3140,10.6034,11.6538,-0.1784,15.757
17:28:46:3230,7.4549,11.9193,3.3781,14.459
17:28:46:3400,0.5501,12.3639,7.1308,14.283
17:28:46:3420,0.5004,12.3780,7.1084,14.283
17:28:46:3530,-4.3290,12.7957,3.1225,13.864
17:28:46:3630,-7.1514,13.3065,-0.1033,15.107
17:28:46:3810,-4.6113,11.8456,0.5694,12.724
17:28:46:3840,-3.4707,11.4878,0.5859,12.015
17:28:46:3930,-0.1194,10.6652,1.5083,10.772
17:28:46:4030,3.3586,9.9880,2.5832,10.850
17:28:46:4150,5.7801,9.3789,2.9615,11.408
17:28:46:4230,6.5130,8.9050,3.4436,11.558
17:28:46:4340,5.7474,9.2321,3.5261,11.432
17:28:46:4430,6.4273,8.9120,1.4663,11.085
17:28:46:4560,9.2473,6.9640,-5.2139,12.696
17:28:46:4630,10.6213,4.9529,-10.0330,15.427
17:28:46:4740,12.0912,3.2448,-10.9166,16.610
17:28:46:4840,12.2629,2.8905,-5.8548,13.893
17:28:46:5000,6.8793,2.7080,8.9783,11.630
17:28:46:5030,5.2394,2.4597,10.5422,12.027
17:28:46:5130,-4.3917,-0.1977,10.3811,11.274
17:28:46:5240,-22.2803,-5.9244,4.3101,23.454
17:28:46:5400,-40.2082,-24.1857,3.1211,47.025
17:28:46:5430,-42.0213,-32.3379,0.1750,53.024
17:28:46:5530,-32.2759,-44.0537,-4.8966,54.831
17:28:46:5629,-11.4446,-41.5770,-9.4966,44.157
17:28:46:5810,5.8379,-26.3615,-1.1131,27.023
17:28:46:5830,3.9412,-24.0513,0.1555,24.373
17:28:46:5930,-6.1483,-17.5448,1.3438,18.639
17:28:46:6040,-10.9710,-13.8218,-0.3670,17.650
17:28:46:6150,-7.7885,-12.2093,-0.8365,14.506
17:28:46:6230,-3.6369,-10.7666,0.8906,11.399
17:28:46:6330,-0.1868,-8.1502,1.3867,8.269
17:28:46:6430,2.0110,-3.8412,0.3234,4.348
17:28:46:6550,4.5759,1.2342,-0.8850,4.821
17:28:46:6640,3.9283,4.6764,-1.1345,6.212
17:28:46:6740,3.5989,8.1766,-2.5036,9.278
17:28:46:6830,2.4799,9.7534,-1.2877,10.146
17:28:46:7000,1.0008,10.1219,1.0727,10.228
17:28:46:7030,1.0296,10.2109,0.8907,10.301
17:28:46:7130,1.3027,10.2446,0.4286,10.336
17:28:46:7240,1.2202,10.0899,1.9277,10.345
17:28:46:7410,2.1233,10.2508,3.7641,11.125
17:28:46:7430,2.2703,10.2568,3.6974,11.137
17:28:46:7530,3.1074,10.0791,2.5270,10.846
17:28:46:7640,3.7322,10.0727,0.1278,10.743
17:28:46:7800,5.1458,10.4835,-3.9020,12.313
17:28:46:7840,5.1089,10.6602,-2.8970,12.171
17:28:46:7940,4.7661,10.3557,1.1886,11.462
17:28:46:8030,3.6876,10.2698,4.6552,11.863
17:28:46:8159,3.0734,10.1241,6.0422,12.184
17:28:46:8230,2.8330,10.0799,6.3107,12.225
17:28:46:8330,2.4304,10.0608,6.3216,12.128
17:28:46:8430,1.9809,10.0900,5.6389,11.727
17:28:46:8560,2.1723,10.7373,-0.6393,10.973
17:28:46:8630,1.9216,11.4644,-4.9030,12.616
17:28:46:8730,0.9572,11.7501,-4.9644,12.792
17:28:46:8830,-0.6613,11.6107,-3.2032,12.063
17:28:46:9010,-4.7518,10.0695,2.4030,11.391
17:28:46:9030,-4.8940,9.3718,4.4928,11.488
17:28:46:9140,-3.4116,7.2486,6.6324,10.400
17:28:46:9240,0.3010,6.8178,6.6606,9.536
17:28:46:9410,7.4362,2.9505,7.8681,11.221
17:28:46:9430,5.5472,-0.5493,-1.5082,5.775
17:28:46:9560,-23.2441,-37.2503,10.2507,45.088
17:28:46:9700,-11.3336,-57.9124,9.7172,59.806
17:28:46:9840,-6.1116,-52.4076,-3.0455,52.851
17:28:46:9870,-9.2122,-52.5104,0.3171,53.313
17:28:46:9930,-9.3988,-52.4835,0.4280,53.320
17:28:47:0040,1.0871,-19.3435,9.9834,21.795
17:28:47:0180,3.3795,-6.1992,-5.7036,9.076
17:28:47:0260,-1.4536,2.2133,-17.5659,17.764
17:28:47:0340,-4.5179,6.1355,-11.2088,13.553
17:28:47:0440,-2.9659,9.6363,-2.4908,10.386
17:28:47:0560,1.9942,12.6709,1.1974,12.883
17:28:47:0640,5.3213,13.0432,1.7286,14.193
17:28:47:0740,7.8170,12.8277,1.4715,15.094
17:28:47:0830,7.2820,12.8012,0.9219,14.756
17:28:47:1019,4.8057,12.6327,2.1255,13.682
